Ref,Type,Rarity,Element,Name,Quantity,Sell
169,Construct,Legendary,wave,kfmlstzrvg,12,
170,Food,Common,plant,rvvsqfofzh,57,
171,Tool,Legendary,fire,uxhfwydecz,8,150
172,Material/Food,Epic,wave,dnbksghmxy,94,150
173,Meal,Common,wave,vsnaniniei,52,250
174,Food,Common,earth,jmdxrrenak,56,100
175,Material,Rare,energy,ngjdallirt,60,
176,Food,Epic,plant,ibrddivfvw,78,
177,Meal,Epic,space,pkrroturqg,14,100
178,Potion,Rare,water,qfgvbsvubi,1,
179,Construct,Rare,space,pptnkuifjx,23,
180,Tool,Legendary,water,tevwivzbaz,92,
181,Material/Food,Legendary,space,ddwrvyzcwr,63,
182,Tool,Common,wave,toqqnizqcr,22,
183,Potion,Rare,gravity,tkkrktdbsu,33,
184,Potion,Rare,fire,ysvkrdytck,10,
185,Meal,Rare,space,sbymjmivaq,17,
186,Meal,Common,time,habgtmvbdv,90,350
187,Armor,Rare,air,ryvigqnrgq,26,250
188,Material,Rare,space,tezelxdwqu,14,
189,Armor,Legendary,wave,esucdfgtyi,5,400
190,Potion,Rare,time,kbqutgiqqc,48,
191,Tool,Rare,space,cbdmvllutu,14,
192,Material,Rare,air,krnfnbngnb,46,150
193,Material/Food,Common,gravity,azzvzclvsu,19,500
194,Material/Food,Common,bacteria,mmlbvwczef,70,
195,Construct,Common,gravity,oytdsmcnom,75,
196,Construct,Rare,time,yljufnepev,81,
197,Food,Common,wave,wimbhlisfd,76,450
198,Food,Epic,water,hzateptife,65,
199,Construct,Common,wave,ocsqvhwkgz,81,500
200,Meal,Rare,fire,jrzksslwnm,66,
201,Meal,Rare,air,gbljrcxrqk,65,100
202,Construct,Rare,plant,fedxxwlyiu,77,
203,Armor,Legendary,life,wmsfozpewn,38,
204,Meal,Legendary,space,fnjdgwabxx,67,50
205,Potion,Rare,bacteria,rmlmguxuxb,34,
206,Material,Common,air,aijqahxplu,23,
207,Meal,Legendary,gravity,woktpynqil,56,
208,Tool,Rare,gravity,mqbocvohnp,36,
209,Food,Rare,plant,ddrbdqvazy,40,
210,Meal,Epic,time,xyvudxpwxc,31,
211,Material,Common,air,oziivbmfmr,99,
212,Food,Rare,wave,iatxjdicoq,73,100
213,Food,Epic,water,yeuyddhthz,11,350
214,Armor,Epic,gravity,bmzosawbdd,76,
215,Tool,Epic,bacteria,mxneyxblhw,95,
216,Construct,Common,energy,alpcdlozyf,55,
217,Armor,Common,water,fubralplvk,48,
218,Material,Common,bacteria,issykmqhbr,16,200
219,Potion,Epic,time,wqmamdozxr,47,100
220,Meal,Rare,fire,kurhxxldgf,52,150
221,Material/Food,Rare,earth,ewukkvtfgv,80,450
222,Construct,Common,earth,mecljcvtte,26,300
223,Tool,Epic,time,lktbfsbyac,19,100
224,Material/Food,Rare,water,qrouspmhwv,66,150
225,Potion,Common,time,urxbckrcxv,39,450
226,Construct,Epic,life,eekvyunydq,83,300
227,Food,Legendary,space,yzplzadbor,8,
228,Potion,Common,fire,nrohuzvdgj,37,
229,Construct,Common,plant,kmxlrmnsvq,67,150
230,Material/Food,Epic,energy,vwfdhzakcr,4,
231,Construct,Rare,space,guaubtfpfz,99,150
232,Material,Epic,life,bojgzsicod,87,50
233,Food,Legendary,gravity,zjziaajlpm,98,
234,Tool,Rare,energy,zgeygmfhfk,87,
235,Meal,Common,time,jzcwrowfzf,51,
236,Tool,Epic,wave,lhiaszaxhs,50,
237,Tool,Rare,wave,bbdjtcqrea,37,100
238,Meal,Legendary,water,eubjbtwueq,24,250
239,Material,Epic,fire,agyrdnpvft,9,
240,Meal,Legendary,bacteria,qfsakfxnrc,35,500
241,Armor,Common,plant,sjhbvefkjt,85,350
242,Construct,Common,energy,knyifxdeic,86,
243,Material/Food,Legendary,space,utdouuhoiv,83,
244,Food,Common,life,tsvaktnmnz,53,
245,Construct,Epic,energy,foptcggnyj,28,100
246,Construct,Rare,air,dnbotlwmdb,4,
247,Construct,Epic,energy,anwovthzmd,99,
248,Material,Epic,gravity,jmpafveprn,55,150
249,Tool,Epic,space,qyppcvyvce,85,
250,Construct,Common,life,uihnwrsdkk,33,
251,Material,Epic,plant,vxfdudbyhd,65,
252,Material/Food,Common,fire,mavehsaweh,8,
253,Material/Food,Epic,energy,gijuakllgf,36,
254,Food,Common,energy,qpvauohzgu,2,200
255,Tool,Common,wave,hngvarueae,28,
256,Food,Epic,life,zwmgtdxuzt,67,
257,Armor,Legendary,plant,hnbcfjbieh,15,
258,Construct,Epic,wave,bfqdeedzva,24,
259,Material/Food,Rare,bacteria,radgzeookv,32,500
260,Food,Epic,earth,fcwitvvtxd,10,150
261,Potion,Legendary,life,mysfpfnktx,50,
262,Material,Legendary,life,mqykgrgvgg,2,450
263,Food,Legendary,wave,oudfnziwus,53,150
264,Food,Legendary,gravity,kipurobfhm,20,300
265,Material/Food,Epic,energy,hxdxkdvxhj,39,
266,Food,Legendary,water,jdsftqnind,99,250
267,Potion,Rare,earth,bhoxiujkcv,63,300
268,Construct,Epic,space,nsogczlwiu,6,100
269,Potion,Epic,energy,xykfbmebim,61,150
270,Material/Food,Legendary,earth,ctxlnmgnci,67,200
271,Meal,Common,fire,eayaftdpgl,89,350
272,Armor,Common,water,gqjlohssfz,65,350
273,Tool,Epic,air,rrfoiowkom,63,
274,Material/Food,Epic,plant,ghzqhzllry,92,50
275,Potion,Legendary,air,wrizbsvvma,19,
276,Meal,Legendary,earth,tquzjajwnb,23,300
277,Food,Common,water,cbkcpsbopa,54,
278,Material/Food,Epic,earth,xyuwozqels,14,
279,Material,Common,life,xicbmupcza,75,250
280,Material/Food,Epic,water,yympbhchpl,2,
281,Tool,Legendary,wave,zsmbkotvlf,56,450
282,Material,Common,plant,fdhcnbzpow,36,50
283,Food,Epic,air,dxnulnyabr,89,
284,Armor,Epic,energy,mnwvcbbtic,71,
285,Meal,Epic,bacteria,posayybtki,56,
286,Food,Rare,bacteria,tfhcbyzddz,84,
287,Construct,Common,wave,ztcjjdxtjd,27,
288,Tool,Epic,fire,pwcdyxjlxc,5,350
289,Material/Food,Epic,fire,uxryaeyhkm,1,400
290,Potion,Legendary,time,bawyuwmmvo,9,
291,Food,Common,life,cpshkitbfv,34,
292,Food,Legendary,time,hfluurgoat,98,250
293,Armor,Epic,water,lgqwkvjjod,40,
294,Armor,Common,life,eblqyimbay,84,
295,Armor,Common,bacteria,omanljmybu,66,
296,Potion,Epic,life,vocojensst,91,
297,Food,Common,wave,fcijzqlbta,49,
298,Construct,Epic,earth,enomfuvadf,3,350
299,Food,Rare,wave,jqyzedsyog,87,
300,Construct,Rare,wave,dlnmyphbig,38,
301,Food,Common,time,rgzfcyreir,90,100
302,Armor,Rare,plant,ksrxohkqdi,24,450
303,Construct,Epic,energy,bpjvoizkvg,24,
304,Potion,Legendary,time,jpkfhrkgag,69,200
305,Material/Food,Rare,energy,ssxtqpxssb,42,
306,Material,Rare,gravity,lrsoybkxmg,80,
307,Meal,Rare,water,vuposklarv,61,100
308,Meal,Common,space,fzwwsswzla,50,
309,Material/Food,Common,water,xxslqcuetz,39,
310,Meal,Common,energy,rumrvsohqj,41,
311,Tool,Epic,bacteria,ryiuvijzhs,96,
312,Material/Food,Legendary,wave,fakutkgwhb,75,400
313,Armor,Legendary,energy,hbqjxtosjz,96,
314,Tool,Rare,energy,hiktypgqnv,48,150
315,Food,Rare,air,kelnortaxp,35,
316,Material/Food,Legendary,gravity,amzknobaje,87,
317,Tool,Epic,bacteria,wtjxcdqoed,32,500
318,Material,Rare,air,vntjlzercn,2,500
319,Meal,Rare,time,fzqkblehfb,38,
320,Meal,Rare,water,cbryapjdsd,30,
321,Material/Food,Rare,wave,zobompabox,49,
322,Tool,Epic,bacteria,gjpangmsym,100,
323,Material,Rare,water,syebnqpxjn,61,
324,Construct,Legendary,energy,pqztncddoa,24,50
325,Material,Common,fire,vpthotqsfk,11,150
326,Potion,Epic,life,yihwevpnwn,86,400
327,Construct,Legendary,fire,tiyptitrjv,48,450
328,Material/Food,Legendary,bacteria,rmeueaeslh,55,
329,Meal,Epic,life,wbinojfsvi,70,
330,Construct,Legendary,plant,uzmsijvhyp,31,350
331,Construct,Common,earth,lbpxwgojwi,62,200
332,Material/Food,Rare,bacteria,eruqngykoz,38,150
333,Potion,Common,earth,ltgnebwhzr,1,
334,Construct,Epic,fire,psexfekltx,58,300
335,Potion,Legendary,time,abpztnmdse,69,450
336,Construct,Rare,bacteria,wzhwuovgrd,67,
337,Meal,Common,water,kzcikjpouv,69,50
338,Tool,Rare,bacteria,xnfjgsfocy,69,
339,Material/Food,Rare,life,mtvrigdnem,79,450
340,Material/Food,Common,energy,qhviegygko,78,
341,Armor,Common,air,oxfyvnapps,35,250
342,Meal,Epic,fire,atwofhvpwo,15,
343,Material/Food,Rare,life,mhjkgwgauu,73,
344,Material,Epic,wave,jmjlpwgwrn,78,250
345,Armor,Epic,bacteria,unnqjaayjl,93,300
346,Construct,Common,earth,tfsumwgivh,76,350
347,Material,Common,time,ifqvyrhqzr,48,
348,Material,Legendary,energy,rowdnjwcnv,95,
349,Material/Food,Common,air,mmrdiqjpke,8,
350,Armor,Legendary,gravity,tfjbuvekov,32,150
351,Potion,Legendary,bacteria,tohvxqjkyh,73,
352,Material,Common,time,ztmuhzldqm,66,250
353,Construct,Epic,water,hsjmtqerxe,30,100
354,Material,Legendary,air,jghjzutmqn,7,350
355,Armor,Common,bacteria,nyieqlpcll,26,
356,Material,Epic,fire,bugvinpthv,12,300
357,Construct,Rare,earth,xwyocuiwtx,19,250
358,Material/Food,Epic,space,shnfshrdhz,17,
359,Meal,Epic,earth,ldzoxzvfnh,33,200
360,Meal,Common,wave,ajwqtlhmce,74,
361,Material/Food,Common,air,szkqupaunf,68,300
362,Material/Food,Legendary,water,focoxwvsgh,94,
363,Meal,Legendary,life,miwtgtsmmu,76,450
364,Material,Legendary,space,lfizastttk,84,
365,Armor,Legendary,air,cestvoqvst,85,500
366,Material,Rare,air,jjocjzqfvt,17,
367,Meal,Common,life,ayufbjicdq,28,300
368,Meal,Rare,fire,hunknadjec,74,
369,Construct,Rare,air,hhdfbbwxzz,35,
370,Construct,Epic,wave,mqghqcpnsm,71,
371,Construct,Rare,space,khcqzmasvj,75,50
372,Material,Rare,gravity,xqrofsuemm,35,200
373,Meal,Common,air,ieadxdbrwy,41,300
374,Material,Rare,energy,ccowwgxmrr,75,
375,Construct,Epic,earth,nfafnmxizf,97,
376,Potion,Common,energy,mhposurtao,23,500
377,Construct,Epic,air,ybczwjcsam,89,
378,Material,Legendary,water,lkylwmpqte,57,150
379,Tool,Legendary,energy,midqyyvwki,81,150
380,Material,Common,plant,zwcbfkbxfm,16,
381,Armor,Rare,space,ncjckrizqo,12,
382,Material,Epic,gravity,qsdpspolqa,49,50
383,Armor,Legendary,wave,vnrayguayt,3,450
384,Potion,Legendary,time,vbawlcyrgb,7,300
385,Material/Food,Epic,water,wzyhfdlqho,71,200
386,Material/Food,Rare,air,fxtnbslxyx,87,250
387,Material/Food,Epic,bacteria,jihflivbzd,61,200
388,Material/Food,Legendary,bacteria,xselipcovb,98,150
389,Material,Common,water,vpocmedrtq,44,
390,Tool,Epic,gravity,ishfvcasca,83,200
391,Material/Food,Rare,space,kcqlpirfbz,26,
392,Armor,Legendary,time,zgxutzuvth,15,250
393,Armor,Common,time,gvmedrxmeq,90,
394,Material,Rare,plant,amfkqhcrwk,70,500
395,Potion,Epic,wave,fwbjrwehrq,65,200
396,Tool,Legendary,earth,nlailnuetf,39,
397,Armor,Legendary,wave,gurhiwtfth,20,150
398,Food,Common,plant,ycxoaxdlxa,79,250
399,Food,Common,energy,hqnzbrkvly,41,100
400,Tool,Legendary,fire,mvvyqpwvth,14,150
401,Material/Food,Rare,energy,bfvgdwemly,8,50
402,Meal,Legendary,plant,gqyetvnvhw,74,450
403,Material/Food,Epic,earth,gucpqnhohe,69,
404,Material/Food,Legendary,plant,tkpbxqesdr,66,
405,Potion,Legendary,time,vrujiwtfgf,15,
406,Tool,Epic,space,kkiahefdxk,79,
407,Material/Food,Rare,space,xsjzewjwbl,8,
408,Material,Legendary,plant,acqffkeykt,40,50
409,Meal,Rare,fire,nakkblvncq,17,50
410,Material,Rare,plant,iefkyvnkos,10,
411,Potion,Legendary,air,bhonqobbjb,56,
412,Food,Rare,space,ettzffcdqz,58,
413,Potion,Common,plant,ayyxhilcvv,10,
414,Armor,Rare,earth,mvgssiwipa,17,450
415,Meal,Rare,earth,khfojqspjl,94,250
416,Meal,Common,water,cfdqgcvjak,46,150
417,Material,Common,time,txfpeqlqxk,4,
418,Food,Epic,time,qpzibddgla,89,
419,Potion,Legendary,bacteria,odcsafhjtk,86,50
420,Food,Rare,water,paoorxevje,91,200
421,Potion,Rare,air,eklaizesix,93,150
422,Material/Food,Rare,bacteria,tvaqcifmqi,57,200
423,Armor,Legendary,space,noltigpglg,79,
424,Food,Epic,air,mjvhshpmli,80,
425,Food,Rare,wave,rbfcxutqld,66,150
426,Tool,Epic,time,iiwyjqzfuv,31,
427,Armor,Common,water,ooyvcxmdtz,8,
428,Material/Food,Legendary,wave,wphtqdsqmi,35,450
429,Material,Rare,time,mwiqwfxwlt,10,200
430,Food,Common,wave,zrfaoowpkm,64,250
431,Construct,Epic,water,danqomeves,82,500
432,Potion,Epic,gravity,vucqeeqepn,101,
433,Meal,Rare,energy,cmewpjbiym,59,100
434,Potion,Rare,wave,zpplhsstzi,65,400
435,Armor,Rare,plant,nvncmupxxx,70,
436,Tool,Legendary,wave,zhnelghlqz,91,500
437,Meal,Rare,fire,ylmrahnrbz,17,200
438,Construct,Legendary,wave,iabldavamu,67,50
439,Armor,Rare,time,fsgtolblzy,10,150
440,Potion,Common,earth,vopthbcamp,4,250
441,Material,Legendary,time,yrkixitnpb,28,50
442,Material/Food,Legendary,water,lzhujzjfrm,2,
443,Food,Legendary,energy,fubuuwhsas,65,
444,Construct,Legendary,life,aaygoxuycu,39,
445,Potion,Rare,water,vbcdihffkx,99,350
446,Armor,Common,space,muhtxovlwr,5,100
447,Material/Food,Common,gravity,khvczyvhek,24,500
448,Food,Rare,fire,tnuwxvlrwo,76,
449,Meal,Epic,space,lpejoraltd,46,200
450,Construct,Legendary,water,vtyebpytpi,1,
451,Construct,Epic,air,htnthgrfrn,30,
452,Construct,Rare,gravity,dzlskmcrjl,39,200
453,Material,Common,time,evilxlyalk,24,100
454,Material,Rare,wave,wwwgdrhddh,15,
455,Potion,Legendary,bacteria,qzzwiuwmwy,16,
456,Potion,Epic,earth,hmpzyubxht,91,
457,Potion,Legendary,life,wmonzjvlnq,92,250
458,Tool,Rare,bacteria,rkdxuxjign,8,100
459,Meal,Epic,fire,fsxitydhao,36,
460,Meal,Legendary,water,drsygwpqzv,54,50
461,Material,Common,wave,nkqvfizkzs,81,350
462,Meal,Common,space,atkdbcgxuj,36,300
463,Armor,Common,energy,lvxtossvbn,62,150
464,Construct,Epic,energy,waewytcplo,70,300
465,Armor,Legendary,life,mznzlewuab,76,350
466,Food,Legendary,life,egabvqnvut,89,
467,Material/Food,Common,air,wltcwiidqi,30,300
468,Potion,Legendary,water,ohzqkcfdnj,54,
469,Construct,Common,wave,zibuhyoknp,60,350
470,Material,Common,wave,lfjgcnsaqy,65,
471,Material,Rare,fire,bnyxvmocog,76,
472,Armor,Common,air,nfivuaxkpj,37,400
473,Material,Common,life,hzuxfzdrti,7,
474,Potion,Rare,time,ppzwxsbjob,27,350
475,Construct,Epic,gravity,widrqdqdpk,49,
476,Material/Food,Epic,wave,eilcbbtovj,100,250
477,Food,Legendary,fire,sbdiyxkwjy,82,
478,Material,Rare,fire,gqldlwqlma,96,450
479,Material/Food,Epic,wave,islrabalvr,40,100
480,Construct,Common,water,rlmgrspyra,71,
481,Construct,Legendary,earth,urvjmvffjy,4,200
482,Armor,Rare,life,wycnybhnpv,79,
483,Food,Rare,fire,syfyisgwqw,93,450
484,Material/Food,Common,time,ocneiqgrjs,77,
485,Food,Rare,earth,tjjwdlompt,62,450
486,Meal,Rare,earth,xsbaxjzcoi,87,150
487,Tool,Epic,time,wdtqbdlhpn,74,
488,Armor,Legendary,space,arcbfebwls,25,
489,Construct,Legendary,air,aoszodhiep,15,
490,Tool,Common,air,shkrcocnxd,68,
491,Armor,Epic,air,puimajypcn,58,
492,Food,Rare,earth,isrrksvbky,26,300
493,Food,Epic,earth,nxfrfgnuhj,25,300
494,Material/Food,Epic,bacteria,amperpzgyl,72,300
495,Potion,Epic,wave,svkosdgbwg,1,
496,Construct,Rare,time,imkwkoswsb,18,500
497,Meal,Rare,energy,ijfzrsnswl,61,
498,Tool,Epic,gravity,unyflrzqru,54,250
499,Food,Common,space,lvzadgnlsk,8,
